Age,Education Level,Years of Experience,Industry,Role,Hours Worked per Week,Job Satisfaction,Number of Projects Completed,Performance
48,3,24,1,1,29,1,3,0
57,2,32,3,9,56,2,8,0
59,4,40,1,6,33,2,18,0
35,2,26,5,7,26,4,1,0
47,1,28,5,3,21,3,14,0
42,1,26,2,3,61,3,2,0
36,1,38,4,3,20,5,8,0
25,1,15,1,4,36,2,19,0
45,4,42,3,7,30,2,19,0
25,3,28,3,4,35,1,1,0
48,1,34,4,8,56,3,5,0
20,2,45,2,8,37,4,19,0
20,1,15,3,3,36,3,15,0
61,4,14,2,5,58,5,18,1
39,3,26,3,7,51,4,19,1
34,3,32,3,8,30,5,14,0
53,4,24,4,7,36,3,18,0
34,3,32,1,7,47,5,18,1
31,4,11,3,2,44,2,19,0
26,4,13,2,2,53,3,3,0
47,3,9,1,5,35,4,16,0
38,4,41,3,3,33,2,19,0
29,2,36,5,4,49,1,10,0
54,4,11,4,5,46,1,6,0
49,1,46,3,5,56,3,10,0
28,1,20,4,7,46,1,7,0
37,1,35,1,6,59,3,4,0
52,1,6,4,3,63,3,9,0
64,4,11,5,2,62,2,18,0
63,4,19,2,9,20,5,0,0
28,4,33,2,3,37,5,2,0
25,1,30,2,8,27,4,9,0
21,1,5,1,4,20,1,13,0
44,1,44,5,9,55,5,16,0
61,3,41,1,3,37,1,18,0
57,3,3,3,5,57,3,5,0
55,2,15,4,2,40,2,16,0
64,4,39,1,4,43,1,18,0
47,3,29,3,5,49,1,5,0
61,4,31,3,5,55,1,9,0
44,4,27,3,5,30,1,11,0
38,2,2,5,6,59,5,18,0
37,1,2,5,9,54,4,6,0
21,4,26,4,5,51,3,0,0
28,1,40,1,1,39,4,16,0
30,4,28,3,2,27,2,18,0
26,3,44,2,6,58,1,3,0
21,3,12,1,6,55,4,17,1
29,1,44,2,9,43,2,7,0
26,1,46,1,2,26,4,8,0
30,3,10,1,2,25,5,6,0
43,1,7,2,2,46,5,5,0
55,3,43,3,5,57,5,4,0
59,1,36,4,4,24,5,10,0
30,4,28,5,7,46,3,17,0
56,3,9,1,3,23,5,8,0
45,4,46,2,9,28,2,2,0
36,3,38,4,9,29,4,17,0
41,1,6,4,3,43,4,0,0
36,1,7,5,8,41,4,5,0
30,4,37,1,2,31,5,1,0
30,4,25,3,7,52,4,8,1
45,3,1,5,3,38,2,17,0
19,2,35,1,3,58,3,12,0
27,2,34,1,7,26,4,3,0
39,2,10,2,9,61,4,9,1
30,2,23,3,7,38,4,3,0
26,1,28,3,8,27,1,3,0
50,4,22,4,6,63,4,3,0
31,2,4,1,5,50,1,5,0
37,2,23,2,3,39,3,18,0
32,4,13,3,7,35,2,13,0
49,3,16,3,6,51,4,3,0
50,3,38,5,9,62,5,12,1
34,1,43,5,9,28,1,5,0
41,3,0,4,7,58,2,19,0
47,2,11,3,3,22,3,8,0
30,4,37,2,8,62,3,6,0
64,2,43,3,1,37,2,5,0
33,4,15,1,4,40,2,19,0
19,1,35,2,6,55,3,13,0
34,1,2,2,2,50,3,15,0
49,2,39,5,4,50,5,3,0
60,3,4,5,6,41,3,1,0
25,3,31,3,3,49,4,15,1
20,1,16,2,9,55,1,17,0
29,4,7,4,4,55,3,6,0
37,4,2,4,5,37,2,14,0
33,1,32,2,5,57,2,10,0
31,1,18,2,5,38,2,1,0
33,2,41,4,4,48,1,8,0
60,3,40,2,1,57,2,19,0
50,3,15,2,9,36,2,17,0
47,3,2,3,6,26,2,10,0
29,2,23,2,5,43,3,8,0
32,1,42,4,7,43,2,4,0
35,3,25,4,8,27,4,8,0
45,2,10,4,4,39,1,5,0
40,4,26,1,3,34,5,8,0
31,3,36,4,7,57,4,13,1
47,4,10,3,6,24,2,17,0
50,2,33,3,6,49,5,8,1
62,3,5,3,3,32,5,4,0
32,1,38,3,6,28,3,14,0
24,3,2,3,5,60,1,0,0
32,2,35,1,4,30,1,5,0
59,4,33,5,3,38,5,12,0
63,3,35,4,1,39,5,7,0
55,2,14,2,1,31,5,10,0
63,2,32,5,3,45,2,15,0
61,3,32,2,4,51,1,3,0
28,2,4,3,3,26,5,18,0
46,4,4,3,7,46,2,7,0
48,4,2,3,9,55,1,1,0
42,4,42,4,5,22,1,5,0
41,2,30,5,6,33,5,8,0
36,4,46,2,3,31,2,1,0
19,1,27,4,2,49,2,10,0
39,1,4,1,2,48,2,12,0
37,1,29,1,3,43,2,7,0
50,2,16,2,2,20,5,12,0
25,3,15,1,7,29,3,7,0
42,3,7,3,8,35,4,4,0
63,1,31,5,6,43,2,10,0
26,2,14,4,6,28,3,6,0
51,1,14,1,3,45,1,15,0
40,1,29,2,1,47,2,15,0
22,4,39,5,7,59,3,11,0
42,2,36,5,9,48,2,7,0
25,1,39,2,8,21,3,3,0
33,4,32,2,9,29,2,16,0
62,2,24,1,2,34,1,11,0
32,1,16,2,7,52,1,2,0
18,3,2,3,3,44,3,6,0
39,1,17,5,2,35,3,4,0
20,3,42,2,1,28,4,19,0
55,4,6,1,7,29,4,3,0
31,1,24,3,5,39,2,19,0
53,4,45,3,1,61,4,10,1
35,4,14,5,9,61,2,15,0
64,1,9,2,6,23,2,7,0
58,4,15,2,4,37,4,7,0
35,3,25,2,2,62,1,18,0
20,1,20,1,7,64,3,0,0
27,2,9,5,7,54,3,13,0
56,3,10,1,7,27,1,17,0
64,2,46,2,8,57,5,18,1
18,2,19,2,6,44,2,11,0
44,3,33,3,7,54,3,16,0
44,4,38,4,2,21,5,6,0
28,4,19,4,2,53,4,15,1
22,1,12,2,7,27,4,19,0
24,2,22,4,6,31,4,13,0
36,4,13,4,7,28,2,14,0
46,4,27,1,4,59,1,7,0
32,1,41,4,1,28,1,3,0
52,2,22,3,1,54,4,1,0
64,3,39,1,8,42,1,4,0
54,3,3,5,4,21,5,9,0
29,2,33,3,3,43,2,6,0
47,4,33,2,2,33,2,2,0
37,4,18,5,9,54,5,0,0
54,3,25,4,8,30,3,9,0
20,2,10,2,1,64,4,0,0
26,4,29,2,1,58,4,7,1
58,1,17,4,7,52,4,6,0
56,2,29,2,7,36,1,10,0
43,2,17,5,2,26,1,17,0
19,2,10,2,4,45,4,13,1
40,3,1,2,2,60,4,9,0
40,3,18,1,7,37,4,17,0
38,4,20,5,3,39,3,1,0
33,4,16,4,7,24,3,8,0
26,3,33,3,8,60,2,5,0
30,4,43,3,5,42,3,15,0
45,2,14,2,5,62,5,6,1
44,3,38,5,9,49,1,10,0
34,4,36,2,4,64,5,2,0
55,3,19,4,2,57,5,4,0
53,3,3,2,1,37,1,8,0
18,3,16,2,2,53,5,15,1
35,3,24,1,4,27,4,17,0
26,2,7,5,8,52,5,10,1
30,2,40,5,2,42,4,17,1
57,4,26,1,2,48,3,16,0
62,3,30,4,3,28,3,2,0
32,3,7,3,5,26,5,2,0
60,2,24,2,7,61,2,4,0
61,4,8,4,6,55,2,14,0
63,2,41,3,9,21,3,14,0
21,3,43,2,9,49,4,17,1
50,1,42,4,1,32,5,11,0
41,4,0,3,3,37,1,9,0
53,3,35,5,7,50,3,16,0
58,1,29,5,5,28,2,15,0
27,3,45,5,7,33,3,8,0
53,4,13,1,7,20,2,1,0
37,4,41,3,1,42,5,18,1
58,4,45,3,5,33,5,1,0
62,1,3,3,8,43,3,0,0
61,1,25,2,4,44,5,10,0
28,3,13,4,7,30,3,1,0
29,4,39,2,6,31,4,19,0
35,2,44,1,1,28,2,7,0
47,2,35,2,6,63,3,6,0
61,4,46,3,4,46,2,14,0
54,2,2,4,1,46,1,7,0
37,2,19,3,8,25,4,9,0
42,4,5,5,2,30,2,7,0
29,3,20,2,5,62,5,19,1
38,1,10,4,1,37,2,15,0
42,2,26,4,6,56,3,6,0
28,4,29,4,2,21,1,7,0
26,3,13,1,2,44,1,17,0
42,4,46,2,4,51,3,8,0
52,3,17,1,7,59,4,13,1
49,2,5,2,2,52,4,14,1
31,2,43,4,7,61,5,11,1
18,2,40,1,1,53,2,1,0
34,2,31,1,8,37,3,19,0
42,3,32,2,8,62,1,18,0
25,4,11,5,6,61,1,17,0
22,3,3,1,6,37,5,6,0
22,1,35,2,2,42,5,14,0
58,1,42,2,1,25,3,4,0
52,3,10,2,5,33,4,10,0
36,1,35,1,2,21,4,3,0
40,3,14,1,9,42,1,19,0
26,2,23,2,3,52,1,11,0
47,3,32,5,7,31,1,8,0
33,2,27,4,8,44,1,2,0
50,4,39,1,4,56,2,10,0
19,4,3,1,8,40,4,5,0
31,2,11,1,8,41,1,17,0
63,3,15,2,9,36,5,1,0
18,3,11,3,4,28,1,4,0
43,2,45,2,4,24,4,19,0
42,1,20,1,4,53,2,18,0
33,3,25,4,1,38,4,12,0
32,2,8,4,7,32,2,15,0
43,1,19,4,9,44,4,14,0
64,1,20,2,1,54,4,3,0
61,2,41,4,4,25,4,19,0
33,3,4,3,4,64,5,5,0
31,1,10,4,4,45,2,13,0
46,1,4,5,7,60,3,9,0
41,1,15,4,8,48,1,15,0
64,4,11,2,9,53,1,15,0
32,2,36,5,7,62,5,0,0
36,4,33,2,1,53,4,11,1
25,1,21,2,3,47,1,10,0
51,1,14,4,7,42,4,17,0
19,2,31,2,4,52,1,8,0
44,1,32,2,4,26,2,5,0
27,2,34,3,4,49,2,17,0
52,1,3,3,4,62,3,1,0
40,2,15,2,7,26,1,16,0
25,2,9,4,7,43,4,4,0
45,3,44,3,9,34,5,9,0
40,3,42,4,5,29,5,0,0
21,2,32,3,9,32,4,14,0
31,2,11,4,3,48,5,5,1
59,1,14,3,1,60,5,15,0
46,1,30,5,5,35,5,7,0
18,3,34,3,9,29,1,19,0
21,1,22,2,1,30,3,8,0
49,2,31,1,5,40,5,2,0
50,4,24,2,2,26,2,16,0
43,2,4,5,2,52,3,7,0
34,2,40,5,8,20,5,18,0
56,1,13,1,1,20,5,18,0
40,1,30,5,7,61,4,6,0
49,2,13,3,2,63,5,10,1
32,1,41,3,5,28,4,3,0
30,2,13,5,1,58,3,8,0
19,2,5,5,9,60,3,3,0
36,2,24,5,4,24,5,7,0
41,2,43,2,8,61,3,8,0
62,3,27,4,3,36,5,13,0
41,1,16,3,1,36,4,6,0
28,2,3,2,1,29,3,5,0
39,2,27,2,7,25,4,11,0
32,2,6,3,5,37,1,6,0
27,1,41,5,1,36,5,6,0
58,1,5,2,8,49,1,4,0
44,3,41,3,3,24,5,3,0
26,4,36,5,7,22,1,18,0
45,3,42,2,5,54,3,0,0
18,2,28,5,8,44,2,7,0
34,3,27,5,9,56,4,15,1
48,1,18,4,4,36,5,15,0
61,2,13,5,7,59,2,16,0
27,1,45,1,3,43,5,6,0
54,3,12,2,7,21,1,13,0
46,4,28,3,7,22,2,17,0
35,2,34,2,9,25,5,11,0
64,2,40,4,5,32,1,1,0
55,4,1,4,6,41,4,15,0
56,2,1,1,6,38,3,7,0
23,1,25,4,3,30,4,16,0
57,1,0,3,4,64,2,11,0
29,3,27,2,4,26,3,10,0
31,1,36,1,9,30,5,4,0
61,3,33,3,2,55,4,16,1
27,2,45,2,2,28,3,7,0
37,1,23,5,2,41,3,7,0
32,1,28,5,6,51,2,13,0
48,1,27,4,4,49,2,1,0
24,1,33,2,8,21,1,15,0
58,1,32,4,9,54,5,11,0
27,2,37,5,1,21,1,5,0
27,2,33,1,8,33,2,11,0
56,4,4,2,6,45,4,12,0
45,2,29,4,7,56,1,7,0
47,2,21,3,6,42,4,15,1
54,3,2,4,5,50,5,14,0
20,4,28,1,9,49,3,14,0
60,3,30,5,3,33,2,8,0
32,3,29,5,5,30,1,19,0
38,3,28,3,5,33,3,11,0
54,3,30,1,8,42,4,10,1
29,2,23,1,9,41,1,5,0
21,4,40,2,9,34,3,1,0
64,3,22,2,6,60,1,0,0
26,4,37,2,8,20,4,0,0
56,2,33,4,6,60,1,9,0
59,4,23,5,2,36,3,1,0
45,4,24,1,2,21,4,19,0
40,2,1,5,8,40,2,4,0
62,1,5,4,9,55,1,10,0
57,3,40,4,1,51,1,13,0
61,3,31,3,6,22,1,1,0
39,2,43,2,4,24,5,19,0
41,4,12,4,6,40,5,10,0
43,2,15,4,3,24,5,13,0
47,1,25,3,6,50,5,11,0
50,4,9,3,3,21,5,11,0
33,1,3,4,4,62,3,4,0
39,2,13,3,3,45,1,18,0
60,2,23,1,5,61,3,2,0
35,2,37,5,6,34,4,16,0
24,1,36,5,7,38,3,15,0
43,3,38,4,3,31,3,13,0
25,1,22,1,1,45,2,8,0
23,1,10,4,6,39,3,6,0
47,1,7,3,6,42,5,6,0
56,2,5,3,7,45,1,15,0
40,1,33,2,4,27,3,8,0
49,3,36,5,9,33,2,12,0
39,1,32,5,4,36,1,17,0
59,3,44,1,7,55,1,14,0
60,4,9,2,2,24,5,11,0
62,3,35,2,4,48,2,14,0
26,2,6,5,5,59,4,9,1
48,4,16,4,9,53,2,4,0
24,2,19,5,4,20,1,15,0
26,2,46,3,3,33,1,2,0
30,4,27,3,1,59,5,9,1
20,3,23,1,2,55,2,1,0
52,2,37,2,3,51,5,18,1
50,3,8,2,5,26,4,8,0
38,2,29,1,1,45,4,10,1
48,2,38,4,6,39,3,1,0
51,4,35,1,1,25,3,9,0
49,4,16,1,6,32,1,11,0
52,3,15,3,1,20,4,2,0
32,4,33,3,9,37,3,9,0
49,2,42,1,7,57,4,15,1
23,1,6,1,7,62,3,11,0
62,1,26,3,2,46,1,3,0
38,1,6,5,1,58,1,9,0
50,1,31,5,8,54,2,19,0
49,3,15,1,4,41,5,9,1
36,4,18,1,2,31,3,7,0
50,2,25,1,7,48,1,5,0
45,1,0,1,2,37,5,15,0
48,3,42,2,8,35,5,9,0
38,3,29,1,5,27,5,0,0
51,2,42,4,8,31,5,15,0
32,4,14,5,9,22,1,8,0
31,1,2,1,8,60,4,16,0
36,1,19,1,2,51,4,18,0
60,3,18,3,4,32,5,9,0
32,3,26,2,5,45,4,3,0
23,1,0,4,4,20,1,17,0
26,2,44,3,7,50,4,3,0
54,3,12,4,4,41,3,9,0
37,3,32,1,3,42,5,3,0
51,4,42,3,3,38,1,13,0
55,2,23,4,6,49,1,0,0
43,2,10,1,6,32,3,2,0
35,3,4,5,2,62,5,11,0
45,4,42,1,6,48,3,15,0
26,3,31,1,7,48,3,13,0
49,1,34,4,6,57,2,0,0
23,3,18,5,2,37,4,16,0
31,3,0,1,8,24,5,12,0
45,3,14,5,8,60,4,16,1
41,1,18,4,3,33,5,5,0
30,4,3,5,4,21,5,14,0
60,4,24,5,8,37,3,12,0
29,2,45,3,8,46,1,5,0
36,2,35,3,9,54,1,16,0
38,2,7,5,6,33,3,3,0
44,3,44,2,8,48,1,15,0
36,3,25,1,3,49,4,8,1
41,2,35,2,1,49,5,16,1
43,1,17,2,7,53,2,17,0
62,3,27,1,5,22,1,4,0
45,1,32,2,1,28,4,8,0
63,1,35,4,3,55,3,2,0
35,3,4,5,6,60,5,19,0
61,2,35,3,8,59,3,9,0
53,4,27,3,3,48,2,5,0
59,4,16,5,2,48,2,16,0
46,4,13,5,9,59,4,10,1
34,1,28,5,6,26,4,4,0
21,2,14,1,9,27,1,12,0
61,3,2,1,4,42,1,16,0
62,1,2,4,7,53,2,6,0
46,3,18,2,6,43,3,11,0
21,3,32,2,8,63,4,18,1
27,1,35,3,1,59,1,10,0
42,1,25,2,3,52,4,4,0
48,2,38,3,4,22,4,10,0
20,1,15,5,4,57,5,3,0
64,3,23,5,8,48,3,1,0
19,2,28,3,1,52,1,14,0
42,3,39,1,3,27,3,14,0
23,2,44,1,3,30,2,6,0
43,3,26,3,8,34,5,13,0
25,2,6,1,2,54,4,2,0
52,1,8,4,3,53,3,11,0
44,4,38,2,9,35,2,14,0
42,3,44,4,4,43,5,7,1
35,3,3,5,9,29,1,11,0
18,2,36,4,4,37,5,7,0
56,1,33,1,7,28,3,7,0
20,1,6,1,6,37,2,16,0
21,2,3,2,9,57,1,16,0
58,1,8,3,1,43,2,16,0
54,1,1,1,8,55,4,8,0
32,2,26,4,1,38,3,4,0
25,3,31,2,1,38,1,11,0
55,2,19,1,9,37,5,18,0
36,4,20,1,1,37,1,13,0
64,2,16,3,7,43,4,17,1
43,2,41,5,7,36,3,17,0
56,1,42,4,1,37,2,14,0
27,3,12,1,2,36,1,18,0
55,4,23,3,4,52,2,6,0
31,1,5,5,6,44,4,8,0
58,1,25,2,5,63,2,3,0
36,1,31,3,2,56,2,11,0
47,3,1,3,7,44,2,14,0
22,2,4,4,9,48,4,7,0
48,2,4,2,6,31,2,0,0
24,4,13,2,1,26,3,13,0
36,3,5,1,6,38,2,2,0
48,2,19,5,1,46,5,13,1
56,4,33,4,3,24,4,17,0
41,3,16,4,1,56,1,7,0
51,4,2,2,4,37,4,13,0
40,1,32,1,4,34,5,15,0
62,2,8,5,6,51,4,15,1
57,4,5,4,7,47,2,1,0
23,3,8,1,4,63,4,19,1
55,3,17,1,5,35,2,3,0
58,3,39,5,5,60,4,2,0
53,3,7,3,4,63,5,19,1
44,2,16,5,1,21,4,19,0
28,1,24,4,4,49,1,10,0
22,2,24,5,4,49,1,0,0
34,2,8,4,4,56,4,7,1
24,3,8,5,8,33,5,9,0
44,4,3,1,7,30,2,1,0
64,1,14,5,5,35,5,11,0
32,3,9,2,1,37,3,9,0
63,2,14,5,8,59,5,19,1
30,1,16,3,7,22,3,8,0
28,2,37,5,5,44,3,15,0
62,4,36,3,6,35,4,6,0
43,4,2,5,9,34,3,3,0
39,4,18,3,9,45,1,0,0
45,4,20,5,8,64,2,1,0
41,1,38,2,2,54,3,14,0
46,4,0,2,2,59,2,14,0
26,1,23,1,1,62,2,4,0
59,3,17,4,4,22,1,16,0
21,3,16,3,3,22,1,5,0
63,3,31,5,7,31,5,13,0
35,2,28,1,7,62,2,4,0
60,1,1,2,8,32,2,8,0
33,3,40,3,7,25,1,0,0
50,3,2,3,6,45,3,4,0
46,3,6,4,3,63,3,17,0
56,3,21,4,5,53,2,15,0
27,1,37,5,9,42,3,17,0
26,1,7,2,2,41,2,19,0
48,2,34,4,3,40,4,12,0
45,3,3,3,4,34,4,11,0
20,4,42,5,8,37,4,18,0
31,1,42,3,9,40,5,2,0
42,1,20,2,9,30,5,8,0
32,2,36,1,4,38,5,1,0
19,3,14,4,7,51,4,17,1
41,4,44,5,1,55,5,19,1
31,2,27,5,5,48,1,13,0
24,3,41,5,3,29,1,15,0
53,4,46,3,8,34,5,5,0
41,4,4,3,5,32,1,2,0
44,1,32,2,7,52,3,12,0
54,4,3,2,8,41,1,12,0
55,4,4,3,5,51,3,0,0
47,1,44,1,8,47,4,17,0
44,4,2,3,6,41,1,17,0
56,3,20,4,7,51,5,6,1
32,3,5,1,4,49,4,1,0
43,1,10,3,2,38,3,1,0
18,1,24,4,6,51,2,7,0
21,1,7,3,2,36,5,6,0
46,2,27,3,7,61,2,10,0
18,2,0,1,2,47,2,2,0
60,4,25,4,5,23,2,16,0
63,2,31,2,8,32,5,7,0
39,2,3,2,1,60,1,15,0
28,3,46,5,7,60,1,4,0
27,3,23,4,3,30,1,7,0
34,4,42,5,7,24,4,5,0
53,1,33,1,8,22,4,13,0
64,3,46,3,5,24,5,12,0
43,3,23,1,3,54,2,3,0
38,3,46,2,6,49,1,4,0
30,2,30,4,7,28,4,12,0
26,3,8,5,1,64,4,7,1
28,3,14,4,4,36,4,18,0
28,1,28,2,4,51,4,13,0
23,2,9,5,3,58,3,6,0
18,1,12,5,3,26,5,5,0
23,1,1,2,4,33,1,14,0
30,2,13,2,6,40,2,4,0
39,2,43,3,5,41,2,11,0
48,2,40,5,6,42,5,0,0
39,1,15,5,7,22,4,0,0
54,4,3,1,6,53,4,1,0
64,1,21,2,4,62,1,15,0
44,2,29,2,2,32,5,1,0
31,1,20,4,4,23,4,9,0
64,4,39,4,6,45,1,16,0
22,4,7,3,4,21,4,11,0
53,4,35,5,8,23,1,4,0
49,3,14,2,1,64,1,9,0
51,1,9,4,7,28,3,5,0
24,2,31,5,6,42,4,1,0
59,1,15,3,4,47,3,3,0
27,4,46,1,1,27,1,17,0
34,4,14,2,6,47,5,19,1
47,4,38,3,2,34,2,11,0
38,1,38,5,3,49,1,6,0
30,2,43,5,6,28,3,15,0
18,3,0,1,5,59,1,6,0
18,4,2,1,3,29,2,8,0
64,2,16,1,5,54,5,13,1
50,4,11,5,5,54,4,3,0
55,4,34,5,3,20,3,19,0
42,1,1,5,9,51,3,5,0
43,3,34,1,7,43,4,6,1
30,4,10,3,5,20,4,17,0
45,3,26,4,3,49,1,19,0
50,4,18,1,2,60,1,7,0
54,1,19,4,9,48,3,10,0
58,4,10,4,8,58,5,13,1
47,2,27,1,6,56,2,6,0
25,3,16,5,7,59,5,9,1
64,2,11,1,6,48,3,10,0
18,1,4,1,5,54,3,12,0
29,2,38,1,3,45,5,7,1
22,2,25,4,2,33,1,0,0
41,2,22,1,4,48,4,14,1
23,3,39,2,7,27,3,7,0
42,1,11,4,9,30,4,10,0
18,4,1,5,9,42,5,9,0
42,3,6,3,5,23,3,3,0
18,3,11,3,1,36,1,8,0
49,1,42,2,7,55,3,7,0
59,3,10,2,9,46,2,11,0
59,4,23,5,1,57,3,15,0
20,3,20,5,2,63,2,3,0
36,2,22,2,6,64,3,11,0
60,3,11,4,6,56,1,19,0
46,1,44,5,9,61,5,9,0
19,1,27,4,6,55,5,1,0
26,3,33,1,6,37,4,1,0
34,3,36,1,3,46,5,3,0
63,2,0,5,6,49,4,13,0
53,3,5,3,7,44,2,0,0
34,4,3,3,4,43,2,18,0
29,2,39,4,2,38,4,13,0
37,4,41,3,8,58,4,16,1
20,2,12,3,6,47,5,2,0
60,4,18,4,6,34,1,7,0
21,4,20,3,3,41,1,16,0
34,4,33,3,2,29,3,12,0
54,4,24,4,5,32,5,11,0
63,3,22,1,7,21,4,8,0
59,3,22,4,2,23,1,10,0
32,1,5,4,7,63,3,2,0
50,3,17,2,2,28,1,4,0
33,1,2,4,3,37,5,2,0
28,4,39,3,5,56,1,16,0
37,2,33,5,5,56,4,0,0
55,2,5,5,2,52,4,2,0
41,3,33,1,1,44,3,19,0
33,4,44,5,9,42,1,2,0
47,1,1,4,4,23,3,19,0
51,1,14,2,9,25,4,8,0
18,1,30,2,5,52,2,13,0
41,2,32,5,2,20,3,15,0
41,1,42,3,9,26,4,14,0
26,2,1,1,9,34,5,10,0
39,4,28,5,6,42,2,10,0
29,2,7,2,1,56,3,10,0
34,4,3,3,2,47,2,12,0
42,3,0,3,5,39,3,11,0
45,3,0,4,5,24,4,11,0
32,2,46,5,6,20,1,19,0
47,3,28,4,5,62,5,7,1
44,3,43,2,8,31,2,15,0
39,4,37,1,8,62,1,15,0
27,4,24,5,9,37,4,4,0
48,2,17,4,7,40,1,12,0
44,2,11,1,4,20,4,11,0
29,1,10,1,2,61,5,18,0
63,1,4,2,4,56,2,3,0
48,3,6,1,3,31,2,12,0
49,3,36,4,9,32,2,18,0
49,4,42,4,8,27,2,11,0
58,2,34,3,8,45,2,15,0
62,1,32,2,7,32,1,5,0
52,1,8,1,5,55,5,6,0
63,2,16,1,2,39,4,16,0
38,2,46,4,1,42,4,4,0
27,2,46,1,8,62,4,16,1
33,1,2,1,7,56,5,10,0
24,4,39,2,3,26,3,1,0
21,2,16,1,3,52,1,7,0
44,3,38,4,7,44,2,13,0
42,1,12,4,5,32,5,3,0
48,4,2,5,6,22,1,6,0
28,2,18,3,4,28,2,7,0
37,3,36,2,7,39,1,8,0
53,1,45,4,6,32,5,12,0
34,2,5,2,5,37,1,18,0
62,3,33,3,3,51,5,2,0
28,2,34,4,5,36,4,1,0
47,3,38,3,9,55,2,17,0
52,4,13,1,3,53,4,14,1
58,1,11,4,7,63,5,2,0
55,4,27,5,8,26,2,9,0
39,1,38,1,8,37,2,7,0
60,1,1,4,9,46,3,5,0
44,2,38,1,7,47,4,4,0
54,4,37,5,6,38,5,16,0
63,1,24,4,5,57,3,3,0
52,3,26,2,4,22,4,6,0
21,2,33,1,8,50,3,19,0
33,3,27,5,9,30,5,3,0
33,3,42,2,2,30,3,5,0
38,3,41,5,1,28,4,10,0
43,2,45,5,4,48,3,12,0
53,4,26,2,5,22,1,17,0
36,3,8,5,7,20,2,12,0
34,3,28,4,8,30,5,2,0
62,1,7,1,1,60,5,8,0
43,2,38,5,7,53,1,18,0
39,4,1,3,4,64,3,12,0
45,1,16,4,3,21,3,8,0
18,4,38,1,7,30,4,19,0
61,3,37,4,1,23,3,11,0
53,3,35,5,4,36,2,11,0
60,2,13,2,2,44,5,7,1
54,3,22,1,4,33,2,5,0
19,2,0,2,6,33,3,9,0
34,3,0,5,8,26,2,11,0
57,3,2,5,4,38,3,5,0
55,1,39,5,2,51,2,12,0
38,3,22,1,8,38,3,15,0
26,4,27,2,6,42,1,6,0
30,4,15,5,5,21,2,0,0
28,1,28,4,8,25,4,13,0
33,1,32,2,1,27,2,14,0
33,3,31,3,7,34,3,16,0
19,1,46,1,4,52,2,11,0
59,2,22,2,4,36,1,14,0
61,1,46,1,4,63,3,15,0
25,4,46,2,1,53,2,6,0
60,2,45,4,2,27,1,14,0
59,4,32,5,3,27,3,2,0
30,1,41,1,7,44,1,9,0
34,1,32,1,1,27,2,17,0
56,1,37,5,7,64,2,10,0
41,3,2,2,4,56,1,17,0
20,4,33,4,3,36,1,15,0
47,3,27,4,3,62,4,9,1
30,3,7,1,2,62,2,3,0
36,3,8,4,5,35,4,9,0
24,4,4,5,4,33,3,16,0
26,2,30,4,1,51,5,9,1
36,1,34,3,4,54,3,6,0
62,3,34,4,6,41,4,18,1
57,4,4,5,9,57,4,0,0
39,4,32,4,2,40,1,15,0
35,1,46,1,8,55,1,0,0
40,3,12,5,5,54,3,9,0
19,2,24,2,2,35,4,17,0
28,1,42,5,6,40,4,3,0
48,2,23,2,7,46,1,15,0
50,3,10,4,9,61,2,8,0
31,1,18,2,8,34,5,7,0
33,3,10,1,1,33,3,19,0
28,3,32,4,1,27,5,13,0
50,4,29,3,3,31,2,3,0
24,2,13,1,2,56,3,9,0
48,2,0,3,7,50,5,6,0
63,1,30,4,6,38,5,8,0
64,3,2,4,2,30,2,19,0
31,1,42,4,2,25,3,6,0
45,1,24,4,7,47,2,17,0
60,3,24,3,9,46,1,12,0
33,2,17,1,3,25,4,6,0
36,1,43,3,4,20,1,7,0
34,1,33,4,8,37,2,5,0
43,1,13,3,2,31,2,12,0
23,3,44,4,8,60,4,6,1
60,1,43,2,1,64,2,12,0
26,2,26,2,2,48,3,12,0
34,4,30,1,1,32,3,19,0
48,2,42,4,4,24,1,18,0
29,3,1,5,2,28,1,12,0
40,4,31,4,4,46,4,15,1
22,3,36,2,4,52,4,14,1
60,3,33,4,1,55,3,15,0
53,4,33,2,1,21,4,0,0
53,3,29,4,1,52,4,16,1
20,2,32,3,7,28,5,11,0
41,4,23,1,1,30,4,5,0
34,3,32,5,6,64,2,12,0
56,1,25,3,5,36,4,4,0
43,2,40,2,5,56,3,7,0
21,4,35,1,6,46,3,18,0
62,4,40,3,3,33,2,10,0
29,3,5,1,6,51,2,11,0
18,4,16,1,2,34,4,17,0
38,4,23,2,4,38,1,9,0
36,3,15,2,3,26,2,17,0
38,1,43,4,5,41,1,19,0
35,2,23,3,3,23,1,14,0
60,2,4,4,7,46,3,16,0
20,4,23,3,2,50,4,1,0
61,4,25,2,1,31,2,19,0
49,4,19,1,4,22,4,12,0
27,1,27,3,3,30,5,16,0
57,1,19,2,7,41,5,4,0
32,3,28,1,3,58,4,11,1
22,1,33,2,4,49,2,14,0
21,1,27,3,6,42,2,5,0
45,1,25,5,6,27,2,8,0
21,2,46,3,6,59,5,4,0
32,4,31,1,8,28,1,13,0
34,2,20,2,1,48,2,17,0
61,1,17,3,5,60,4,11,0
20,4,11,1,8,26,1,13,0
27,1,34,3,7,53,5,12,0
64,4,21,3,4,50,2,14,0
